Ind,authors,title,year,is_cited_own_paper,is_of_interest
195,Ali A. Husain; Matteo Mitrano; Melinda S. Rak; Samantha Rubeck; Bruno Uchoa; Katia March; Christian Dwyer; John Schneeloch; Ruidan Zhong; G. D. Gu; Peter Abbamonte,Crossover of Charge Fluctuations across the Strange Metal Phase Diagram,2019,True,True
196,A A Abrikosov; I M Khalatnikov,The theory of a fermi liquid (the properties of liquid 3He at low temperatures),1959,True,True
197,A. Gourgout; G. Grissonnanche; F. Laliberté; A. Ataei; L. Chen; S. Verret; J.-S. Zhou; J. Mravlje; A. Georges; N. Doiron-Leyraud; Louis Taillefer,Seebeck Coefficient in a Cuprate Superconductor: Particle-Hole Asymmetry in the Strange Metal Phase and Fermi Surface Transformation in the Pseudogap Phase,2022,True,True
198,Chandra M. Varma,Colloquium: Linear in temperature resistivity and associated mysteries including high temperature superconductivity,2020,True,True
199,Aristomenis Donos; Jerome P. Gauntlett,Minimally packed phases in holography,2016,True,True
200,D. van der Marel; H. J. A. Molegraaf; J. Zaanen; Z. Nussinov; F. Carbone; A. Damascelli; H. Eisaki; M. Greven; P. H. Kes; M. Li,Quantum critical behaviour in a high-Tc superconductor,2003,True,True
201,Erik van Heumen; Xuanbo Feng; Silvia Cassanelli; Linda Neubrand; Lennart de Jager; Maarten Berben; Yingkai Huang; Takeshi Kondo; Tsunehiro Takeuchi; Jan Zaanen,Strange metal electrodynamics across the phase diagram of Bi 2 − x Pb x Sr 2 − y La y CuO 6 + δ cuprates,2022,True,True
202,Jan Zaanen,Why the temperature is high,2004,True,True
203,Richard A. Davison; Simon A. Gentle; Blaise Goutéraux,Slow relaxation and diffusion in holographic quantum critical phases,2019,True,True
204,J. W. Loram; K. A. Mirza; J. M. Wade; J. R. Cooper; W. Y. Liang,The electronic specific heat of cuprate superconductors,1994,True,True
205,Thomas Faulkner; Nabil Iqbal; Hong Liu; John McGreevy; David Vegh,Strange Metal Transport Realized by Gauge/Gravity Duality,2010,True,True
206,Aurelio Romero-Bermúdez; Alexander Krikun; Koenraad Schalm; Jan Zaanen,Anomalous attenuation of plasmons in strange metals and holography,2019,True,True
